SeqNum,@id,@notation,@status,dct:description,rdf:type,rdfs:label,skos:notation,I-ADOPT Type,Comment,OoI,Property,Constraints
112,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/347>,347,stable,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase'@en",skos:Concept,"C18H12 (benz(a)anthracene), in aerosol",'347',OoI,with Matrix,C18H12 (benz(a)anthracene),,
113,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/348>,348,stable,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in gas phase'@en",skos:Concept,"C18H12 (benz(a)anthracene), in air",'348',OoI,with Matrix,C18H12 (benz(a)anthracene),,
114,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/349>,349,stable,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in aerosol'@en",skos:Concept,"C18H12 (benz(a)anthracene), in air and aerosol",'349',OoI,with Matrix,C18H12 (benz(a)anthracene),,
115,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/350>,350,stable,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in precipitation'@en",skos:Concept,"C18H12 (benz(a)anthracene), in precipitation",'350',OoI,with Matrix,C18H12 (benz(a)anthracene),,
116,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/351>,351,stable,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in total precipitation'@en",skos:Concept,"C18H12 (benz(a)anthracene), in total precipitation",'351',OoI,with Matrix,C18H12 (benz(a)anthracene),,
117,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/356>,356,stable,'Spectrally integrated UV radiation'@en,skos:Concept,UV Broadband radiation,'356',Property,with Constraint,Radiation,?,UV-B
118,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/357>,357,stable,'Radiation effective in causing actinic erythema'@en,skos:Concept,UV Erythemal radiation,'357',Property,with Constraint,Radiation,?,UV Eythemal
119,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/358>,358,stable,"'UV radiation measured across several discrete, narrow wavebands (e.g. 10 nm) within the UV range, providing coarse spectral information'@en",skos:Concept,UV Multiband radiation,'358',Property,with Constraint,Radiation,,Multiband
120,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/359>,359,stable,'UV radiation measured at a higher spectral resolution (e.g. 1 nm) than multiband UV radiation'@en,skos:Concept,UV Spectral radiation,'359',Property,with Constraint,Radiation,,Spectral
121,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/361>,361,stable,'2D field of the column burden of condensed particles in the atmosphere'@en,skos:Concept,Aerosol column burden (mass density),'361',Property,,Aerosol Particle,mass column density,
122,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/362>,362,stable,'The area weighted mean radius of the aerosol particles.'@en,skos:Concept,Particle effective radius,'362',Property,,Aerosol Particle,effective radius,
123,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/364>,364,stable,"'Mass of particles per unit volume of air, size range: PM10'@en",skos:Concept,"Particle mass concentration, PM10",'364',Property,with Constraint,Aerosol Particle,mass concentration,PM10
124,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/365>,365,stable,"'Mass of particles per unit volume of air, size range: PM1'@en",skos:Concept,"Particle mass concentration, PM1",'365',Property,with Constraint,Aerosol Particle,mass concentration,PM1
125,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/366>,366,stable,"'Mass of particles per unit volume of air, size range: PM2.5'@en",skos:Concept,"Particle mass concentration, PM2.5",'366',Property,with Constraint,Aerosol Particle,mass concentration,PM2.5
126,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/367>,367,stable,"'Mass of particles per unit volume of air, size fractionated'@en",skos:Concept,Particle mass concentration (size fractionated),'367',Property,with Constraint,Aerosol Particle,mass concentration,
127,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/368>,368,stable,"'Mass of particles per unit volume of air, size range: TSP'@en",skos:Concept,"Particle mass concentration, TSP",'368',Property,with Constraint,Aerosol Particle,mass concentration,total
128,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/369>,369,stable,'Amount of particles per unit volume of air'@en,skos:Concept,Particle number concentration,'369',Property,with Constraint,Aerosol Particle,number concentration,
129,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/370>,370,stable,"'Particle number concentration as a function of size, typically equivalent spherical radius or diameter. Size range: TSP'@en",skos:Concept,"Particle number size distribution, PM10",'370',Property,with Constraint,Aerosol Particle,number size distribution,PM10
130,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/371>,371,stable,"'Particle number concentration as a function of size, typically equivalent spherical radius or diameter. Size range: PM10'@en",skos:Concept,"Particle number size distribution, TSP",'371',Property,with Constraint,Aerosol Particle,number size distribution,total
131,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/373>,373,stable,'Atmospheric water in the liquid phase (precipitating or not).'@en,skos:Concept,Cloud liquid water (CLW),'373',Property,,Cloud,mass concentration,liquid water
132,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/375>,375,stable,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in particle phase'@en",skos:Concept,"C12H8Cl6 (aldrin), in aerosol",'375',OoI,with Matrix,C12H8Cl6 (aldrin),,
133,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/376>,376,stable,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in gas phase'@en",skos:Concept,"C12H8Cl6 (aldrin), in air",'376',OoI,with Matrix,C12H8Cl6 (aldrin),,
134,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/377>,377,stable,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in aerosol'@en",skos:Concept,"C12H8Cl6 (aldrin), in air and aerosol",'377',OoI,with Matrix,C12H8Cl6 (aldrin),,
135,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/378>,378,stable,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in total precipitation'@en",skos:Concept,"C12H8Cl6 (aldrin), in total precipitation",'378',OoI,with Matrix,C12H8Cl6 (aldrin),,
136,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/379>,379,stable,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in wet precipitation'@en",skos:Concept,"C12H8Cl6 (aldrin), in wet precipitation",'379',OoI,with Matrix,C12H8Cl6 (aldrin),,
137,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/380>,380,stable,"'IUPAC: 1,2,3,4,5,6-hexachlorobenzene, PubChem CID: 8370, CAS Number: 118-74-1, in gas phase'@en",skos:Concept,"C6Cl6 (hexachlorobenzene, HCB), in air",'380',OoI,with Matrix,C6Cl6 (hexachlorobenzene,,
138,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/381>,381,stable,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in particle phase'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol",'381',OoI,with Matrix,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH)",,
139,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/382>,382,stable,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air",'382',OoI,with Matrix,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH)",,
140,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/383>,383,stable,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation",'383',OoI,with Matrix,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH)",,
141,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/384>,384,stable,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air",'384',OoI,with Matrix,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH)",,
142,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/385>,385,stable,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation",'385',OoI,with Matrix,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH)",,
143,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/390>,390,stable,"'IUPAC: azane, PubChem CID: 222, CAS Number: 7664-41-7, in gas phase'@en",skos:Concept,NH3 (Ammonia),'390',OoI,,NH3 (Ammonia),,
144,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/391>,391,stable,"'IUPAC: nitro ethaneperoxoate, PubChem CID: 16782, CAS Number: 2278-22-0, in gas phase'@en",skos:Concept,"C2H3O5N (peroxyacetylnitrate, PAN)",'391',OoI,,"C2H3O5N (peroxyacetylnitrate, PAN)",,
145,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/392>,392,stable,"'IUPAC: chloro nitrate, PubChem CID: 114934, CAS Number: 14545-72-3, in gas phase'@en",skos:Concept,ClONO2 (chlorine nitrate),'392',OoI,,ClONO2 (chlorine nitrate),,
146,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/393>,393,stable,"'IUPAC: formonitrile, PubChem CID: 768, CAS Number: 74-90-8, in gas phase'@en",skos:Concept,"HCN (formonitrile, hydrogen cyanide)",'393',OoI,,"HCN (formonitrile, hydrogen cyanide)",,
147,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/394>,394,stable,"'IUPAC: nitric acid, PubChem CID: 944, CAS Number: 7697-37-2, in gas phase'@en",skos:Concept,HNO3 (nitric acid),'394',OoI,,HNO3 (nitric acid),,
148,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/395>,395,stable,"'IUPAC: nitric oxide, PubChem CID: 145068, CAS Number: 10102-43-9, in gas phase'@en",skos:Concept,NO (nitrogen monoxide),'395',OoI,,NO (nitrogen monoxide),,
149,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/396>,396,stable,"'IUPAC: n/a, PubChem CID: 3032552, CAS Number: 10102-44-0, in gas phase'@en",skos:Concept,NO2 (nitrogen dioxide),'396',OoI,,NO2 (nitrogen dioxide),,
150,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/397>,397,stable,''@en,skos:Concept,NOx,'397',OoI,,NOx,,
151,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/398>,398,stable,''@en,skos:Concept,NOy,'398',OoI,,NOy,,
152,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/411>,411,stable,''@en,skos:Concept,CCN concentration at single supersaturation,'411',Property,,Aerosol Particle,number concentration,CCN at single supersaturation
153,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/412>,412,stable,''@en,skos:Concept,CCN concentration spectra,'412',Property,,Aerosol Particle,number concentration,CCN supersaturation spectra
154,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/413>,413,stable,''@en,skos:Concept,"Hygroscopic growth factor, 110 Î¼m equivalent",'413',Property,with Constraint,Aerosol Particle,Hygroscopic size growth factor,110 nm
155,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/414>,414,stable,''@en,skos:Concept,"Hygroscopic growth factor, 165 Î¼m equivalent",'414',Property,with Constraint,Aerosol Particle,Hygroscopic size growth factor,165 nm
156,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/415>,415,stable,''@en,skos:Concept,"Hygroscopic growth factor, 35 Î¼m equivalent",'415',Property,with Constraint,Aerosol Particle,Hygroscopic size growth factor,35 nm
157,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/416>,416,stable,''@en,skos:Concept,"Hygroscopic growth factor, 50 Î¼m equivalent",'416',Property,with Constraint,Aerosol Particle,Hygroscopic size growth factor,50 nm
158,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/417>,417,stable,''@en,skos:Concept,"Hygroscopic growth factor, 75 Î¼m equivalent",'417',Property,with Constraint,Aerosol Particle,Hygroscopic size growth factor,75 nm
159,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/418>,418,stable,''@en,skos:Concept,"Hygroscopic growth factor, total aerosol",'418',Property,with Constraint,Aerosol Particle,Hygroscopic size growth factor,total
160,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/419>,419,stable,"'IUPAC: 1,1,1,2,2,2-hexafluoroethane, PubChem CID: 6431, CAS Number: 76-16-4, in gas phase'@en",skos:Concept,"C2F6 (hexafluoroethane, PFC-116)",'419',OoI,,"C2F6 (hexafluoroethane, PFC-116)",,
161,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/420>,420,stable,"'IUPAC: 1,1,1,2,2,3,3,3-octafluoropropane, PubChem CID: 6432, CAS Number: 76-19-7, in gas phase'@en",skos:Concept,"C3F8 (octafluoropropane, PFC-218)",'420',OoI,,"C3F8 (octafluoropropane, PFC-218)",,
162,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/421>,421,stable,"'IUPAC: tetrafluoromethane, PubChem CID: 6393, CAS Number: 75-73-0, in gas phase'@en",skos:Concept,"CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)",'421',OoI,,"CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)",,
163,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/428>,428,stable,"'IUPAC: carbonyl sulfide, PubChem CID: 10039, CAS Number: 463-58-1, in gas phase'@en",skos:Concept,"COS (OCS, carbon oxide sulfide, carbonyl sulfide)",'428',OoI,,"COS (OCS, carbon oxide sulfide, carbonyl sulfide)",,
164,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/429>,429,stable,"'IUPAC: methanedithione, PubChem CID: 6348, CAS Number: 75-15-0, in gas phase'@en",skos:Concept,CS2 (carbon disulfide),'429',OoI,,CS2 (carbon disulfide),,
165,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/430>,430,stable,"'IUPAC: sulfur dioxide, PubChem CID: 1119, CAS Number: 7446 09-5, in gas phase'@en",skos:Concept,SO2,'430',OoI,,SO2,,
166,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/431>,431,stable,"'Detection of the time and location (latitude, longitude) of lightning events. Accuracy expressed in terms of Hit Rate and False Alarm Rate, which requires predetermination of a specific distance and time tolerance.'@en",skos:Concept,Lightning detection (time and location),'431',,?,,,
167,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/432>,432,stable,'Azimuth of the lightning event with respect to the corresponding station.'@en,skos:Concept,Lightning discharge direction from station,'432',,?,,,
168,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/433>,433,stable,'Distance of the lightning event from the corresponding station.'@en,skos:Concept,Lightning discharge distance from station,'433',,?,,,
169,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/434>,434,stable,"'IUPAC: acetylene, PubChem CID: 6326, CAS Number: 74-86-2, in gas phase'@en",skos:Concept,"C2H2 (ethyne, acetylene)",'434',OoI,,"C2H2 (ethyne, acetylene)",,
170,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/435>,435,stable,"'IUPAC: oxaldehyde, PubChem CID: 7860, CAS Number: 107-22-2, in gas phase'@en",skos:Concept,"C2H2O2 (oxaldehyde, ethanedial)",'435',OoI,,"C2H2O2 (oxaldehyde, ethanedial)",,
171,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/436>,436,stable,"'IUPAC: ethene, PubChem CID: 6325, CAS Number: 74-85-1, in gas phase'@en",skos:Concept,C2H4 (ethene),'436',OoI,,C2H4 (ethene),,
172,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/437>,437,stable,"'IUPAC: ethane, PubChem CID: 6324, CAS Number: 74-84-0, in gas phase'@en",skos:Concept,C2H6 (ethane),'437',OoI,,C2H6 (ethane),,
173,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/438>,438,stable,"'IUPAC: methylsulfanylmethane, PubChem CID: 1068, CAS Number: 75-18-3, in gas phase'@en",skos:Concept,"C2H6S (dimethylsulfide, DMS)",'438',OoI,,"C2H6S (dimethylsulfide, DMS)",,
174,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/439>,439,stable,"'IUPAC: prop-1-yne, PubChem CID: 6335, CAS Number: 74-99-7, in gas phase'@en",skos:Concept,C3H4 (propyne),'439',OoI,,C3H4 (propyne),,
175,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/440>,440,stable,"'IUPAC: prop-2-enal, PubChem CID: 7847, CAS Number: 107-02-8, in gas phase'@en",skos:Concept,"C3H4O (prop-2-enal, acrolein)",'440',OoI,,"C3H4O (prop-2-enal, acrolein)",,
176,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/441>,441,stable,"'IUPAC: 2-oxopropanal, PubChem CID: 880, CAS Number: 78-98-8, in gas phase'@en",skos:Concept,"C3H4O2 (2-oxopropanal, methylglyoxal)",'441',OoI,,"C3H4O2 (2-oxopropanal, methylglyoxal)",,
177,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/442>,442,stable,"'IUPAC: prop-1-ene, PubChem CID: 8252, CAS Number: 115-07-1, in gas phase'@en",skos:Concept,C3H6 (propene),'442',OoI,,C3H6 (propene),,
178,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/443>,443,stable,"'IUPAC: propan-2-one, PubChem CID: 180, CAS Number: 67-64-1, in gas phase'@en",skos:Concept,"C3H6O (acetone, propanone)",'443',OoI,,"C3H6O (acetone, propanone)",,
179,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/444>,444,stable,"'IUPAC: propanal, PubChem CID: 527, CAS Number: 123-38-6, in gas phase'@en",skos:Concept,C3H6O (propanal),'444',OoI,,C3H6O (propanal),,
180,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/445>,445,stable,"'IUPAC: propane, PubChem CID: 6334, CAS Number: 74-98-6, in gas phase'@en",skos:Concept,C3H8 (propane),'445',OoI,,C3H8 (propane),,
181,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/446>,446,stable,"'IUPAC: buta-1,3-diene, PubChem CID: 7845, CAS Number: 106-99-0, in gas phase'@en",skos:Concept,"C4H6 (1,3-butadiene, butadiene)",'446',OoI,,"C4H6 (1,3-butadiene, butadiene)",,
182,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/447>,447,stable,"'IUPAC: 2-methylprop-2-enal, PubChem CID: 6562, CAS Number: 78-85-3, in gas phase'@en",skos:Concept,"C4H6O (2-methylprop-2-enal, methacrolein)",'447',OoI,,"C4H6O (2-methylprop-2-enal, methacrolein)",,
183,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/448>,448,stable,"'IUPAC: but-3-en-2-one, PubChem CID: 6570, CAS Number: 78-94-4, in gas phase'@en",skos:Concept,"C4H6O (but-3-en-2-one, methylvinylketone)",'448',OoI,,"C4H6O (but-3-en-2-one, methylvinylketone)",,
184,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/449>,449,stable,"'IUPAC: but-1-ene, PubChem CID: 7844, CAS Number: 106-98-9, in gas phase'@en",skos:Concept,C4H8 (1-butene),'449',OoI,,C4H8 (1-butene),,
185,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/450>,450,stable,''@en,skos:Concept,C4H8 (sum of butenes),'450',OoI,,C4H8 (sum of butenes),,
186,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/451>,451,stable,"'IUPAC: butan-2-one, PubChem CID: 6569, CAS Number: 78-93-3, in gas phase'@en",skos:Concept,"C4H8O (butan-2-one, methylethylketone)",'451',OoI,,"C4H8O (butan-2-one, methylethylketone)",,
187,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/452>,452,stable,''@en,skos:Concept,C4H8O (butanal isomers),'452',OoI,,C4H8O (butanal isomers),,
188,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/453>,453,stable,"'IUPAC: pent-1-ene, PubChem CID: 8004, CAS Number: 109-67-1, in gas phase'@en",skos:Concept,C5H10 (1-pentene),'453',OoI,,C5H10 (1-pentene),,
189,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/454>,454,stable,"'IUPAC: 2-methylbut-1-ene, PubChem CID: 11240, CAS Number: 563-46-2, in gas phase'@en",skos:Concept,C5H10 (2-methyl-1-butene),'454',OoI,,C5H10 (2-methyl-1-butene),,
190,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/455>,455,stable,"'IUPAC: 2-methylbut-2-ene, PubChem CID: 10553, CAS Number: 513-35-9, in gas phase'@en",skos:Concept,C5H10 (2-methyl-2-butene),'455',OoI,,C5H10 (2-methyl-2-butene),,
191,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/456>,456,stable,"'IUPAC: 3-methylbut-1-ene, PubChem CID: 11239, CAS Number: 563-45-1, in gas phase'@en",skos:Concept,C5H10 (3-methyl-1-butene),'456',OoI,,C5H10 (3-methyl-1-butene),,
192,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/457>,457,stable,"'IUPAC: cyclopentane, PubChem CID: 9253, CAS Number: 287-92-3, in gas phase'@en",skos:Concept,C5H10 (cyclopentane),'457',OoI,,C5H10 (cyclopentane),,
193,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/458>,458,stable,''@en,skos:Concept,C5H10 (sum of 1-pentene and 2-methyl-2-butene),'458',OoI,,C5H10 (sum of 1-pentene and 2-methyl-2-butene),,
194,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/459>,459,stable,''@en,skos:Concept,C5H10 (sum of pentenes),'459',OoI,,C5H10 (sum of pentenes),,
195,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/460>,460,stable,"'IUPAC: pentanal, PubChem CID: 8063, CAS Number: 110-62-3, in gas phase'@en",skos:Concept,"C5H10O (pentanal, valeraldehyde)",'460',OoI,,"C5H10O (pentanal, valeraldehyde)",,
196,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/461>,461,stable,''@en,skos:Concept,"C5H12 & C4H8 (sum of 2,2-dimethylpropane & c-2-butene)",'461',OoI,,"C5H12 & C4H8 (sum of 2,2-dimethylpropane & c-2-butene)",,
197,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/462>,462,stable,"'IUPAC: 2,2-dimethylpropane, PubChem CID: 10041, CAS Number: 463-82-1, in gas phase'@en",skos:Concept,"C5H12 (2,2-dimethylpropane)",'462',OoI,,"C5H12 (2,2-dimethylpropane)",,
198,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/463>,463,stable,"'IUPAC: 2,3-dimethylbutane, PubChem CID: 6589, CAS Number: 79-29-8, in gas phase'@en",skos:Concept,"C5H14 (2,3-dimethylbutane)",'463',OoI,,"C5H14 (2,3-dimethylbutane)",,
199,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/464>,464,stable,"'IUPAC: 2-methylbuta-1,3-diene, PubChem CID: 6557, CAS Number: 78-79-5, in gas phase'@en",skos:Concept,"C5H8 (2-methyl-1,3-butadiene, isoprene)",'464',OoI,,"C5H8 (2-methyl-1,3-butadiene, isoprene)",,
200,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/465>,465,stable,"'IUPAC: cyclopentene, PubChem CID: 8882, CAS Number: 142-29-0, in gas phase'@en",skos:Concept,C5H8 (cyclopentene),'465',OoI,,C5H8 (cyclopentene),,
201,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/466>,466,stable,"'Sum of 3-methyl-1-butene and cyclopentane, in gas phase'@en",skos:Concept,"C5Hn, n=10 (sum of 3-methyl-1-butene and cyclopentene)",'466',OoI,,"C5Hn, n=10 (sum of 3-methyl-1-butene and cyclopentene)",,
202,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/467>,467,stable,"'Sum of n-pentane and cyclopentane, in gas phase'@en",skos:Concept,"C5Hn, n={12, 10} (sum of n-pentane and cyclopentane)",'467',OoI,,"C5Hn, n={12, 10} (sum of n-pentane and cyclopentane)",,
203,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/468>,468,stable,"'IUPAC: cyclohexane, PubChem CID: 8078, CAS Number: 110-82-7, in gas phase'@en",skos:Concept,C6H12 (cyclohexane),'468',OoI,,C6H12 (cyclohexane),,
204,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/469>,469,stable,"'IUPAC: methylcyclopentane, PubChem CID: 7296, CAS Number: 96-37-7, in gas phase'@en",skos:Concept,C6H12 (methylcyclopentane),'469',OoI,,C6H12 (methylcyclopentane),,
205,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/470>,470,stable,''@en,skos:Concept,C6H12O (hexanal isomers),'470',OoI,,C6H12O (hexanal isomers),,
206,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/471>,471,stable,''@en,skos:Concept,"C6H14 (2,2-dimethylbutane)",'471',OoI,,"C6H14 (2,2-dimethylbutane)",,
207,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/472>,472,stable,"'IUPAC: 2-methylpentane, PubChem CID: 7892, CAS Number: 107-83-5, in gas phase'@en",skos:Concept,C6H14 (2-methylpentane),'472',OoI,,C6H14 (2-methylpentane),,
208,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/473>,473,stable,"'IUPAC: 3-methylpentane, PubChem CID: 7282, CAS Number: 96-14-0, in gas phase'@en",skos:Concept,C6H14 (3-methylpentane),'473',OoI,,C6H14 (3-methylpentane),,
209,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/474>,474,stable,"'IUPAC: hexane, PubChem CID: 8058, CAS Number: 110-54-3, in gas phase'@en",skos:Concept,C6H14 (n-hexane),'474',OoI,,C6H14 (n-hexane),,
210,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/475>,475,stable,''@en,skos:Concept,C6H14 (sum of methylpentanes),'475',OoI,,C6H14 (sum of methylpentanes),,
