#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e
256,dbcpNWSNDBCMB,,>Co-sponsored>GOOS>DBCP>NWS-NDBC-MB,NWS-NDBC-MB,NA
257,dbcpNDBCWB,,>Co-sponsored>GOOS>DBCP>NWS-NDBC-WB,NWS-NDBC-WB,NA
258,dbcpPacioos,,>Co-sponsored>GOOS>DBCP>PACIOOS,PACIOOS,NA
259,dbcpPetrobras,,>Co-sponsored>GOOS>DBCP>PETROBRAS,PETROBRAS,NA
260,dbcpScrips,,>Co-sponsored>GOOS>DBCP>SCRIPS,SCRIPS,NA
261,dbcpShell,,>Co-sponsored>GOOS>DBCP>SHELL,SHELL,NA
262,dbcpShoaTSU,,>Co-sponsored>GOOS>DBCP>SHOA-TSU,SHOA-TSU,NA
263,dbcpSIODB,,>Co-sponsored>GOOS>DBCP>SIO-DB,SIO-DB,NA
264,dbcpSpainPDEMB,,>Co-sponsored>GOOS>DBCP>SPAIN-PDE MB,SPAIN-PDE MB,NA
265,dbcpStratus,,>Co-sponsored>GOOS>DBCP>STRATUS,STRATUS,NA
266,dbcpTaoAtlas,,>Co-sponsored>GOOS>DBCP>TAO ATLAS,TAO ATLAS,NA
267,dbcpTaoPirata,,>Co-sponsored>GOOS>DBCP>TAO PIRATA,TAO PIRATA,NA
268,dbcpTaoPirataUS,,>Co-sponsored>GOOS>DBCP>TAO PIRATA US,TAO PIRATA US,NA
269,dbcpTaoRamaUSIndia,,>Co-sponsored>GOOS>DBCP>TAO RAMA US-INDIA,TAO RAMA US-INDIA,NA
270,dbcpTaoTriton,,>Co-sponsored>GOOS>DBCP>TAO TRITON,TAO TRITON,NA
271,dbcpUCSDScripps,,>Co-sponsored>GOOS>DBCP>UCSD-SCRIPPS,UCSD-SCRIPPS,NA
272,dbcpUKJerseyMB,,>Co-sponsored>GOOS>DBCP>UK-JERSEY MB,UK-JERSEY MB,NA
273,dbcpUKMODB,,>Co-sponsored>GOOS>DBCP>UK-MO DB,UK-MO DB,NA
274,dbcpUKMOFixed,,>Co-sponsored>GOOS>DBCP>UK-MO FIXED,UK-MO FIXED,NA
275,dbcpUKMOMB,,>Co-sponsored>GOOS>DBCP>UK-MO MB,UK-MO MB,NA
276,dbcpUSCGDB,,>Co-sponsored>GOOS>DBCP>US-CG DB,US-CG DB,NA
277,vos3P,,>Co-sponsored>GOOS>SOT>VOS>VOS-3P,VOS-3P,NA
278,vosAU,,>Co-sponsored>GOOS>SOT>VOS>VOS-AU,VOS-AU,NA
279,vosCA,,>Co-sponsored>GOOS>SOT>VOS>VOS-CA,VOS-CA,NA
280,vosCL,,>Co-sponsored>GOOS>SOT>VOS>VOS-CL,VOS-CL,NA
281,vosDE,,>Co-sponsored>GOOS>SOT>VOS>VOS-DE,VOS-DE,NA
282,vosES,,>Co-sponsored>GOOS>SOT>VOS>VOS-ES,VOS-ES,NA
283,vosEU,,>Co-sponsored>GOOS>SOT>VOS>VOS-EU,VOS-EU,NA
284,vosFR,,>Co-sponsored>GOOS>SOT>VOS>VOS-FR,VOS-FR,NA
285,vosGB,,>Co-sponsored>GOOS>SOT>VOS>VOS-GB,VOS-GB,NA
286,vosGR,,>Co-sponsored>GOOS>SOT>VOS>VOS-GR,VOS-GR,NA
287,vosHK,,>Co-sponsored>GOOS>SOT>VOS>VOS-HK,VOS-HK,NA
288,vosIE,,>Co-sponsored>GOOS>SOT>VOS>VOS-IE,VOS-IE,NA
289,vosIL,,>Co-sponsored>GOOS>SOT>VOS>VOS-IL,VOS-IL,NA
290,vosIN,,>Co-sponsored>GOOS>SOT>VOS>VOS-IN,VOS-IN,NA
291,vosIS,,>Co-sponsored>GOOS>SOT>VOS>VOS-IS,VOS-IS,NA
292,vosJP,,>Co-sponsored>GOOS>SOT>VOS>VOS-JP,VOS-JP,NA
293,vosKR,,>Co-sponsored>GOOS>SOT>VOS>VOS-KR,VOS-KR,NA
294,vosMY,,>Co-sponsored>GOOS>SOT>VOS>VOS-MY,VOS-MY,NA
295,vosNL,,>Co-sponsored>GOOS>SOT>VOS>VOS-NL,VOS-NL,NA
296,vosNO,,>Co-sponsored>GOOS>SOT>VOS>VOS-NO,VOS-NO,NA
297,vosNZ,,>Co-sponsored>GOOS>SOT>VOS>VOS-NZ,VOS-NZ,NA
298,vosRU,,>Co-sponsored>GOOS>SOT>VOS>VOS-RU,VOS-RU,NA
299,vosSE,,>Co-sponsored>GOOS>SOT>VOS>VOS-SE,VOS-SE,NA
300,vosShipMask,,>Co-sponsored>GOOS>SOT>VOS>VOS-SHIP-MASK,VOS-SHIP-MASK,NA
301,vosUS,,>Co-sponsored>GOOS>SOT>VOS>VOS-US,VOS-US,NA
302,vosZA,,>Co-sponsored>GOOS>SOT>VOS>VOS-ZA,VOS-ZA,NA
303,nonAffiliated,,>Non-affiliated,Non-affiliated,Observing elements that are not affiliated with WIGOS or any of the co-sponsored programmes
304,goShip,,>Co-sponsored>GOOS>SOT>GO-SHIP,GO-SHIP,Global Ocean Ship-Based Hydrographic Investigations Programme
305,soot,,>Co-sponsored>GOOS>SOT>SOOT,SOOT,Ship Of Opportunity Programme
306,gawGlobal,,>WIGOS>GAW>GAW Global,GAW Global,Global GAW station
307,gawRegional,,>WIGOS>GAW>GAW Regional,GAW Regional,Regional GAW station
308,gawLocal,,>WIGOS>GAW>GAW Local,GAW Local,Local GAW station
309,gosSurface,,>WIGOS>GOS>GOS Surface networks,GOS Surface networks,Surface-based observing networks of the Global Observing System (GOS)
310,gosContributing,,>WIGOS>GOS>GOS Contributing networks,GOS Contributing networks,Networks contributing to the Global Observing System (GOS)
311,gosOther,,>WIGOS>GOS>GOS Other elements,GOS Other elements,Other elements of the Global Observing System (GOS)
312,windProfiler,,>WIGOS>GOS>GOS Other elements>Wind Profilers,Wind Profilers,Wind profilers for upper-air wind observations
313,lightningDetection,,>WIGOS>GOS>GOS Other elements>Lightning detection system,Lightning detection system,Surface-based lightning detection system
314,gnssRadioOccultation,,>WIGOS>GOS>GOS Other elements>GNSS radio-occultation system,GNSS radio-occultation system,NA
315,gawOther,,>WIGOS>GAW>GAW Other elements,GAW Other elements,Other international/national networks that provide atmospheric composition observations but are not (yet) affiliated with GAW
316,idaf,,>WIGOS>GAW>GAW Contributing networks>IDAF,IDAF,IGAC/DEBITS Africa
317,gawNonAffiliated,,>WIGOS>GAW>GAW Other elements>Non-affiliated,Non-affiliated,Observing elements that are not affiliated with GAW or any of the co-sponsored programs
318,argoBrazilNavy,,>Co-sponsored>GOOS>Argo>ARGO BRAZIL NAVY,ARGO BRAZIL NAVY,NA
319,asapZA,,>Co-sponsored>GOOS>SOT>ASAP-ZA,ASAP-ZA,NA
320,argoCoriolisRemoceanEq,,>Co-sponsored>GOOS>Argo>CORIOLIS-REMOCEAN EQ.,CORIOLIS-REMOCEAN EQ.,NA
321,dbcpEcIABP,,>Co-sponsored>GOOS>DBCP>EC-IABP,EC-IABP,NA
322,dbcpHK,,>Co-sponsored>GOOS>DBCP>HK-OBS-DB,HK-OBS-DB,NA
323,dbcpMarlin,,>Co-sponsored>GOOS>DBCP>MARLIN-DB,MARLIN-DB,NA
324,dbcpNicIABP,,>Co-sponsored>GOOS>DBCP>NIC-IABP,NIC-IABP,NA
325,dbcpPmel,,>Co-sponsored>GOOS>DBCP>PMEL MB,PMEL MB,NA
326,soopBOM,,>Co-sponsored>GOOS>SOT>SOOP-BOM,SOOP-BOM,NA
327,dbcpUKMOlv,,>Co-sponsored>GOOS>DBCP>UK-MO LV,UK-MO LV,NA
328,vosPL,,>Co-sponsored>GOOS>SOT>VOS-PL,VOS-PL,NA
329,smoOS,,>WIGOS>GOS>OceanSITES,OceanSITES,NA
330,dbcpAOMLmf,,>Co-sponsored>GOOS>DBCP>AOML-MF DB,AOML-MF DB,NA
331,smoOSawi,,>WIGOS>GOS>OceanSITES>OS-AWI,OS-AWI,NA
332,smoOSbas,,>WIGOS>GOS>OceanSITES>OS-BAS,OS-BAS,NA
333,smoOSbccr,,>WIGOS>GOS>OceanSITES>OS-BCCR,OS-BCCR,NA
334,smoOSbios,,>WIGOS>GOS>OceanSITES>OS-BIOS,OS-BIOS,NA
335,smoOScentre,,>WIGOS>GOS>OceanSITES>OS-CENTRE D'OCEANOLOGIE DE MARSEILLE,OS-CENTRE D'OCEANOLOGIE DE MARSEILLE,NA
336,smoOScnr,,>WIGOS>GOS>OceanSITES>OS-CNR,OS-CNR,NA
337,smoOScnrs,,>WIGOS>GOS>OceanSITES>OS-CNRS,OS-CNRS,NA
338,smoOScsiro,,>WIGOS>GOS>OceanSITES>OS-CSIRO,OS-CSIRO,NA
339,smoOSdfo,,>WIGOS>GOS>OceanSITES>OS-DFO,OS-DFO,NA
340,smoOSdml,,>WIGOS>GOS>OceanSITES>OS-DML,OS-DML,NA
341,smoOSeu,,>WIGOS>GOS>OceanSITES>OS-EU-THOR,OS-EU-THOR,NA
342,smoOSgeomar,,>WIGOS>GOS>OceanSITES>OS-GEOMAR,OS-GEOMAR,NA
343,smoOShamburgUni,,>WIGOS>GOS>OceanSITES>OS-HAMBURG UNIVERSITY,OS-HAMBURG UNIVERSITY,NA
344,smoOShav,,>WIGOS>GOS>OceanSITES>OS-HAV,OS-HAV,NA
345,smoOShellenic,,>WIGOS>GOS>OceanSITES>OS-HELLENIC CENTRE FOR MARINE RESEARCH,OS-HELLENIC CENTRE FOR MARINE RESEARCH,NA
346,osICCM,,>WIGOS>GOS>OceanSITES>OS-ICCM - ACIISI - GOBIERNO DE CANARIAS,OS-ICCM - ACIISI - GOBIERNO DE CANARIAS,NA
347,osIFREMER,,>WIGOS>GOS>OceanSITES>OS-IFREMER,OS-IFREMER,NA
348,osIMARPE,,>WIGOS>GOS>OceanSITES>OS-IMARPE,OS-IMARPE,NA
349,osIMR,,>WIGOS>GOS>OceanSITES>OS-INSTITUTE OF MARINE RESEARCH,OS-INSTITUTE OF MARINE RESEARCH,NA
350,osIOntu,,>WIGOS>GOS>OceanSITES>OS-IO-NTU,OS-IO-NTU,NA
351,osIOwarnemuende,,>WIGOS>GOS>OceanSITES>OS-IO-WARNEMUENDE,OS-IO-WARNEMUENDE,NA
352,osIRD,,>WIGOS>GOS>OceanSITES>OS-IRD,OS-IRD,NA
353,osJamstec,,>WIGOS>GOS>OceanSITES>OS-JAMSTEC,OS-JAMSTEC,NA
354,osKiost,,>WIGOS>GOS>OceanSITES>OS-KIOST,OS-KIOST,NA
355,osLDEO,,>WIGOS>GOS>OceanSITES>OS-LDEO,OS-LDEO,NA
356,osMarum,,>WIGOS>GOS>OceanSITES>OS-MARUM,OS-MARUM,NA
357,osMbari,,>WIGOS>GOS>OceanSITES>OS-MBARI,OS-MBARI,NA
358,osNIO,,>WIGOS>GOS>OceanSITES>OS-NIO,OS-NIO,NA
359,osNIOT,,>WIGOS>GOS>OceanSITES>OS-NIOT,OS-NIOT,NA
360,osNIWA,,>WIGOS>GOS>OceanSITES>OS-NIWA,OS-NIWA,NA
361,osNOAA,,>WIGOS>GOS>OceanSITES>OS-NOAA/AOML,OS-NOAA/AOML,NA
362,osNOAApmel,,>WIGOS>GOS>OceanSITES>OS-NOAA/PMEL,OS-NOAA/PMEL,NA
363,osNOC,,>WIGOS>GOS>OceanSITES>OS-NOC,OS-NOC,NA
364,osOGS,,>WIGOS>GOS>OceanSITES>OS-OGS,OS-OGS,NA
365,osNIOZ,,>WIGOS>GOS>OceanSITES>OS-ROYAL NETHERLANDS INSTITUTE FOR SEA RESEARCH (NIOZ),OS-ROYAL NETHERLANDS INSTITUTE FOR SEA RESEARCH (NIOZ),NA
366,osSIO,,>WIGOS>GOS>OceanSITES>OS-SIO,OS-SIO,NA
367,osSNU,,>WIGOS>GOS>OceanSITES>OS-SNU,OS-SNU,NA
368,osSOA,,>WIGOS>GOS>OceanSITES>OS-SOA,OS-SOA,NA
369,osUNhawaii,,>WIGOS>GOS>OceanSITES>OS-UN_HAWAII_MANOA,OS-UN_HAWAII_MANOA,NA
370,osUNmiami,,>WIGOS>GOS>OceanSITES>OS-UN_MIAMI,OS-UN_MIAMI,NA
371,osUSP,,>WIGOS>GOS>OceanSITES>OS-USP,OS-USP,NA
372,osUW,,>WIGOS>GOS>OceanSITES>OS-UW,OS-UW,NA
373,osWHOI,,>WIGOS>GOS>OceanSITES>OS-WHOI,OS-WHOI,NA
374,osWHOIsio,,>WIGOS>GOS>OceanSITES>OS-WHOI/SIO/OSU,OS-WHOI/SIO/OSU,NA
390,airep,,>WIGOS>GOS>GOS Other elements>AIREP,AIREP,Aircraft Report (Manual). These are transmitted by the aircraft when a weather event encountered e.g. severe turbulence or icing.
391,adsc,,>WIGOS>GOS>GOS Other elements>ADS-C,ADS-C,Automatic Data Surveillance (ICAO). These are transmitted at selected points of the flightpath.
392,add,,>WIGOS>GOS>GOS Other elements>ADD,ADD,Aircraft Derived Data (Mode-S/ADS-B)
393,tamdar,,>WIGOS>GOS>GOS Other elements>TAMDAR,TAMDAR,"Tropospheric Aircraft Meteorological Data Relay (Commercial/Panasonic). Not currently open to GTS, contract with Panasonic and airline and/or NMHS"
394,afirs,,>WIGOS>GOS>GOS Other elements>AFIRS,AFIRS,"Automated Flight Information & Reporting System (Commercial/FLYHT). Not currently open to GTS, contract with Panasonic and airline and/or NMHS"
