WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,
NA,,>Atmosphere>Clouds>Optical properties>Optical depth of fog,Optical depth of fog,NA,
NA,,>Atmosphere>Clouds>Optical properties>Optical depth within each layer,Optical depth within each layer,NA,
NA,,>Atmosphere>Aerosol>Optical properties,Optical properties,NA,
NA,,>Atmosphere>Clouds>Optical properties,Optical properties,NA,
NA,,>Atmosphere>Total Atmospheric Deposition>Organic acid,Organic acid,NA,
NA,,>Atmosphere>Aerosol>Composition>Organic anions,Organic anions,NA,
NA,,>Atmosphere>Aerosol>Composition>Organic carbonaceous,Organic carbonaceous,NA,
NA,,>Atmosphere>Other Gas,Other Gas,NA,
NA,,>Ocean>Other Gas,Other Gas,NA,
NA,,>Outer Space,Outer Space,NA,
oceanDissolvedOxygen,,">Ocean>Other Gas>Oxygen, dissolved","Oxygen, dissolved",NA,
NA,,>Atmosphere>Ozone,Ozone,NA,
NA,,>Atmosphere>POPs>PAH,PAH,NA,
NA,,>Outer Space>Energetic particles / solar wind >Particle density,Particle density,NA,
NA,,>Outer Space>Energetic particles / solar wind >Particle flux,Particle flux,NA,
NA,,>Atmosphere>Past weather>Past weather,Past weather,NA,
NA,,>Atmosphere>Past weather,Past weather,NA,
oceanPCO2,,>Ocean>Greenhouse Gas>pCO2,pCO2,Partial pressure of CO2.,
oceanPCO2AirSeaFlux,,>Ocean>Greenhouse Gas>pCO2 air-sea flux,pCO2 air-sea flux,Flux of CO2 from the ocean into the atmosphere.,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Permafrost,Permafrost,NA,
NA,,>Atmosphere>Greenhouse Gas>PFCs,PFCs,NA,
oceanPH,,>Ocean>Miscellaneous>pH,pH,"The hydrogen ion concentration in seawater, which is a measure of acidity and alkalinity.",
NA,,>Ocean>Biology>Phosporus species,Phosporus species,NA,
NA,,>Terrestrial>Land surface>Radiation>Photosynthetically Active Radiation (PAR),Photosynthetically Active Radiation (PAR),Flux of downwelling photons of wavelength 400-700 nm.,
NA,,>Atmosphere>Aerosol>Physical properties - primary,Physical properties - primary,NA,
NA,,>Atmosphere>Aerosol>Physical properties - secondary,Physical properties - secondary,NA,
oceanPO2,,>Ocean>Other Gas>CTD>pO2,pO2,NA,
oceanPhosphate,,>Ocean>Biology>Phosporus species>PO4= (phosphate),PO4= (phosphate),Phosphate concentration in sea water.,
NA,,>Atmosphere>POPs>POP,POP,NA,
NA,,>Atmosphere>POPs,POPs,NA,
NA,,>Atmosphere>Clouds>Position,Position,NA,
NA,,>Atmosphere>Lightning>Position,Position,NA,
NA,,>Atmosphere>Precipitation,Precipitation,NA,
NA,,>Atmosphere>Present weather>Present weather,Present weather,NA,
NA,,>Atmosphere>Present weather,Present weather,NA,
oceanPressure,,>Ocean>Basic Physical Properties>Pressure,Pressure,Pressure(depth) measured by CTD.,
NA,,>Atmosphere>Pressure,Pressure,NA,
NA,,>Ocean>Pressure,Pressure,NA,
NA,,>Atmosphere>Pressure>Pressure tendency,Pressure tendency,NA,
oceanPrimaryProduction,,>Ocean>Biology>Primary production,Primary production,NA,
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Proton differential directional flux,Proton differential directional flux,"Flux density energy spectrum of low-, medium-, and high-energy protons from the magnetosphere, the radiation belts or the interplanetary medium, per unit solid angle.",
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Proton integral directional flux,Proton integral directional flux,"Flux density of low-, medium-, and high-energy protons from the magnetosphere, the radiation belts or the interplanetary medium.",
NA,,>Atmosphere>Clouds>PSC occurrence,PSC occurrence,3D field of Polar Stratospheric Clouds occurrence.,
NA,,>Atmosphere>Radiation,Radiation,NA,
NA,,>Ocean>Radiation,Radiation,NA,
NA,,>Terrestrial>Land surface>Radiation,Radiation,NA,
NA,,>Outer Space>Energetic particles / solar wind >Radiation Dose Rate,Radiation Dose Rate,Dose rate of energetic particles. Often reported as a 3D field.,
NA,,>Atmosphere>Radionuclide,Radionuclide,NA,
NA,,>Outer Space>Solar monitoring>Radio-waves,Radio-waves,"Travelling radio-waves of solar, galactic and extragalactic origin, entering the Earth's environment.",
NA,,>Atmosphere>Radionuclide>Radon [Rn-222],Radon [Rn-222],Radon (Rn-222 isotope),
NA,,>Atmosphere>Precipitation>Rate of ice accretion,Rate of ice accretion,NA,
NA,,>Atmosphere>Reactive Gas,Reactive Gas,NA,
NA,,>Ocean>Reactive Gas,Reactive Gas,NA,
NA,,>Atmosphere>Radiation>Solar>Reflected solar radiation,Reflected solar radiation,NA,
NA,,>Terrestrial>River,River,NA,
NA,,>Terrestrial>River>River discharge,River discharge,Volume of water flowing through a river per unit of time.,
NA,,>Terrestrial>River>River stage (level above reference),River stage (level above reference),NA,
NA,,>Terrestrial>Land surface>Runway conditions,Runway conditions,NA,
NA,,>Atmosphere>Visibility>Runway visual range,Runway visual range,NA,
oceanSeaSurfaceHeatFlux,,>Ocean>Miscellaneous>Sea surface heat flux,Sea surface heat flux,Sea Surface Heat Flux.,
oceanSeaSurfaceHeight,,">Ocean>Topography>Sea surface height (SSH, OST)","Sea surface height (SSH, OST)",NA,
oceanSeaSurfaceHeightAnomaly,,>Ocean>Topography>Sea surface height anomaly (SSHA),Sea surface height anomaly (SSHA),Sea surface height anomaly.,
oceanSeaSurfaceMassFlux,,>Ocean>Miscellaneous>Sea surface Mass Flux,Sea surface Mass Flux,Sea Surface Mass Flux.,
oceanSurfaceSalinity,,>Ocean>Basic Physical Properties>Sea surface salinity,Sea surface salinity,Salinity of sea water in the surface layer. In the open ocean the correct term should be “halinity” with reference of the diversity of salts involved.,
oceanSurfaceTemperature,,>Ocean>Basic Physical Properties>Sea surface temperature,Sea surface temperature,"Temperature of the sea water at surface. This includes both or either of the “bulk” temperature refers to the depth of typically 2 m, and the “skin” temperature refers to within the upper 1 mm. ",
seaIceCover,,>Ocean>Snow / Ice / Glacier>Ice>Sea-ice cover,Sea-ice cover,Fraction of an ocean area where ice is present.,
seaIceElevation,,>Ocean>Snow / Ice / Glacier>Ice>Sea-ice elevation,Sea-ice elevation,Elevation of the surface of the sea-ice sheet above sea level.,
seaIceMotion,,>Ocean>Snow / Ice / Glacier>Ice>Sea-ice motion,Sea-ice motion,Sea-ice motion.,
seaIceSurfaceCharacteristics,,>Ocean>Snow / Ice / Glacier>Ice>Sea-ice surface characteristics,Sea-ice surface characteristics,"Sea-ice surface characteristics (albedo, meltpond, dust, snow properties, temperature).",
seaIceSurfaceTemperature,,>Ocean>Snow / Ice / Glacier>Ice>Sea-ice surface temperature,Sea-ice surface temperature,Temperature of the surface of sea-ice.,
seaIceThickness,,>Ocean>Snow / Ice / Glacier>Ice>Sea-ice thickness,Sea-ice thickness,Thickness of the ice sheet.,
seaIceType,,>Ocean>Snow / Ice / Glacier>Ice>Sea-ice type,Sea-ice type,Categorization of the type of sea ice.,
NA,,>Atmosphere>Clouds>Optical properties>Short-wave cloud reflectance,Short-wave cloud reflectance,Reflectance of the solar radiation from clouds.,
oceanDominantWaveHeight,,>Ocean>Waves>Significant wave height,Significant wave height,Average amplitude of the highest 30 out of of 100 waves.,
oceanMetaSilicate,,>Ocean>Biology>SiO3= (metasilicate),SiO3= (metasilicate),NA,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Snow,Snow,NA,
NA,,>Ocean>Snow / Ice / Glacier,Snow / Ice / Glacier,NA,
NA,,>Terrestrial>Lake>Snow / Ice / Glacier,Snow / Ice / Glacier,NA,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier,Snow / Ice / Glacier,NA,
NA,,>Terrestrial>River>Snow / Ice / Glacier,Snow / Ice / Glacier,NA,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Snow>Snow cover (fraction of area),Snow cover (fraction of area),Fraction of a given area which is covered by snow.,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Snow>Snow depth,Snow depth,"Vertical distance from the snow surface to the underlying surface (ground, glacier ice or sea ice).",
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Snow>Snow status (wet/dry),Snow status (wet/dry),Binary product (dry or melting/thawing) expressing the presence of liquid water in a snow layer.,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Snow>Snow water equivalent,Snow water equivalent,Vertical depth of the water that would be obtained by melting a snow layer. Linked to snow depth through the density of the snow layer.,
NA,,>Terrestrial>Soil,Soil,NA,
NA,,>Terrestrial>Soil>Soil heat Flux,Soil heat Flux,NA,
NA,,>Terrestrial>Soil>Humidity>Soil moisture (in the roots region),Soil moisture (in the roots region),Fractional content of water in a volume of wet soil. Typically in a layer from the surface down to approximately 3m.,
NA,,>Terrestrial>Soil>Humidity>Soil moisture at surface,Soil moisture at surface,Fractional content of water in a volume of wet soil. Surface layer (upper few centimetres).,
NA,,>Terrestrial>Soil>Temperature>Soil temperature,Soil temperature,Temperature at a specified depth. ,
NA,,>Terrestrial>Soil>Soil type,Soil type,Classification of the type of soil. ,
NA,,>Atmosphere>Radiation>Solar,Solar,NA,
NA,,>Outer Space>Solar monitoring>Solar Ca II-K image,Solar Ca II-K image,Image of the Sun in the K-line of Ca-II(393.4 nm).,
NA,,>Outer Space>Solar monitoring>Solar coronagraphic image,Solar coronagraphic image,Image of the solar corona surrounding the Sun.,
NA,,>Outer Space>Solar monitoring>Solar electric field,Solar electric field,Map of magnitude and direction of the electric field at the solar surface (photosphere).,
NA,,>Outer Space>Solar monitoring>Solar EUV flux,Solar EUV flux,Integrated Extreme Ultra-Violet (EUV) flux over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar EUV flux spectrum,Solar EUV flux spectrum,Energy spectrum of the Extreme Ultra-Violet (EUV) flux integrated over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar EUV image,Solar EUV image,Images of the Sun in the Extreme Ultra-Violet (EUV) wavelengths.,
NA,,>Outer Space>Solar monitoring>Solar gamma-ray flux,Solar gamma-ray flux,Integrated gamma-ray flux over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar gamma-ray flux spectrum,Solar gamma-ray flux spectrum,Energy spectrum of the gamma-ray flux integrated over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar H-alpha image,Solar H-alpha image,Image of the Sun in the Hydrogen-alpha transition wavelength (656.3 nm).,
NA,,>Outer Space>Solar monitoring>Solar Lyman-alpha flux,Solar Lyman-alpha flux,Solar flux in the Hydrogen Lyman-alpha transition wavelength (121.6 nm).,
NA,,>Outer Space>Solar monitoring>Solar Lyman-alpha image,Solar Lyman-alpha image,Image of the Sun in the Hydrogen Lyman-alpha transition wavelength (121.6 nm).,
NA,,>Outer Space>Solar monitoring>Solar magnetic field,Solar magnetic field,Vector magnetic field (1D or 3D) at the solar surface (photosphere/chromosphere).,
NA,,>Outer Space>Solar monitoring,Solar monitoring,NA,
NA,,>Outer Space>Solar monitoring>Solar radio flux,Solar radio flux,Integrated radio flux over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar radio flux spectrum,Solar radio flux spectrum,Solar radio flux energy spectrum integrated over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar radio image,Solar radio image,2D image of the solar radio flux.,
NA,,>Outer Space>Solar monitoring>Solar UV flux,Solar UV flux,Integrated Ultra-Violet (UV) flux over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar UV flux spectrum,Solar UV flux spectrum,Energy spectrum of the Ultra-Violet (UV)  flux integrated over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar UV image,Solar UV image,Images of the Sun in the Ultra-Violet (UV)  wavelengths.,
NA,,>Outer Space>Solar monitoring>Solar velocity fields,Solar velocity fields,"Map of 3D velocity of particles of the Solar atmosphere, significant of the Sun interior.",
NA,,>Outer Space>Solar monitoring>Solar VIS flux,Solar VIS flux,Integrated VIS (energy at visible wavelengths) flux over the solar disk,
NA,,>Outer Space>Solar monitoring>Solar VIS flux spectrum,Solar VIS flux spectrum,Energy spectrum of the integrated VIS (energy at visible wavelengths) flux over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar VIS image,Solar VIS image,Images of the Sun in the VIS (visible)  wavelengths.,
NA,,>Outer Space>Solar monitoring>Solar white light image,Solar white light image,Image of the Sun in white light.,
NA,,>Outer Space>Energetic particles / solar wind >Particle density>Solar wind density,Solar wind density,Density of solar wind plasma.,
NA,,>Outer Space>Energetic particles / solar wind >Solar wind temperature,Solar wind temperature,Temperature of solar wind protons.,
NA,,>Outer Space>Energetic particles / solar wind >Solar wind velocity,Solar wind velocity,Vector velocity of solar wind plasma.,
NA,,>Outer Space>Solar monitoring>Solar X-ray flux,Solar X-ray flux,Integrated X-ray flux over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar X-ray flux spectrum,Solar X-ray flux spectrum,Energy spectrum of the X-ray flux integrated over the solar disk.,
NA,,>Outer Space>Solar monitoring>Solar X-ray image,Solar X-ray image,Image of the Sun in X-ray wavelengths.,
NA,,>Atmosphere>Special phenomena,Special phenomena,NA,
NA,,>Outer Space>Ionospheric disturbances>Spread F,Spread F,Vertical thickness of highly structured ion density in the F-region of the ionosphere.,
NA,,>Atmosphere>State of ground,State of ground,NA,
NA,,>Atmosphere>Total Atmospheric Deposition>Inorganic acid>Strong acids,Strong acids,NA,
NA,,>Atmosphere>Reactive Gas>Sulfur containing compounds,Sulfur containing compounds,NA,
NA,,>Atmosphere>Total Atmospheric Deposition>Sulphur (S),Sulphur (S),NA,
NA,,>Atmosphere>Radiation>Sunshine duration,Sunshine duration,NA,
NA,,>Atmosphere>Radiation>Surface albedo,Surface albedo,NA,
NA,,>Atmosphere>Ozone>Surface ozone,Surface ozone,NA,
NA,,>Atmosphere>Temperature,Temperature,NA,
oceanTemperature,,>Ocean>Temperature,Temperature,NA,
NA,,>Terrestrial>Lake>Temperature,Temperature,NA,
NA,,>Terrestrial>Land surface>Temperature,Temperature,NA,
NA,,>Terrestrial>Soil>Temperature,Temperature,NA,
NA,,>Atmosphere>Temperature>Temperature profile,Temperature profile,NA,
NA,,>Terrestrial,Terrestrial,NA,
oceanTides,,>Ocean>Tides,Tides,NA,
NA,,>Ocean>Topography,Topography,NA,
oceanTotalAlkalinity,,>Ocean>Miscellaneous>Total alkalinity (AT),Total alkalinity (AT),The amount of acid necessary to titrate all weak bases in seawater.,
NA,,>Atmosphere>Total Atmospheric Deposition,Total Atmospheric Deposition,NA,
NA,,>Atmosphere>Ozone>Total column ozone,Total column ozone,NA,
oceanTotalOrganicPhosphorous,,>Ocean>Biology>Phosporus species>Total organic phosphorus,Total organic phosphorus,NA,
NA,,>Atmosphere>Aerosol>Composition>Trace elements,Trace elements,NA,
NA,,>Atmosphere>Total Atmospheric Deposition>Trace elements,Trace elements,NA,
oceanTransmissivity,,>Ocean>Transmissivity>CTD>Transmissivity,Transmissivity,NA,
NA,,>Ocean>Transmissivity,Transmissivity,NA,
NA,,">Atmosphere>Dynamics>Transport calculations (e.g., trajectories)","Transport calculations (e.g., trajectories)",NA,
NA,,>Atmosphere>Dynamics>Turbulence,Turbulence,Kinetic energy density of turbulent motion of the air.,
NA,,>Atmosphere>Dynamics>Turbulence type (low levels and wake vortex),Turbulence type (low levels and wake vortex),NA,
NA,,>Atmosphere>Clouds>Type,Type,NA,
NA,,>Atmosphere>Clouds>Type>Type of cloud,Type of cloud,Cloud type classification.,
NA,,>Atmosphere>Clouds>Type>Type of high clouds,Type of high clouds,NA,
NA,,>Atmosphere>Clouds>Type>Type of low clouds,Type of low clouds,NA,
NA,,>Atmosphere>Clouds>Type>Type of middle clouds,Type of middle clouds,NA,
NA,,>Atmosphere>Precipitation>Type of precipitation,Type of precipitation,NA,
NA,,>Atmosphere>Radiation>UV,UV,NA,
NA,,>Atmosphere>Radiation>UV>UV Broadband,UV Broadband,NA,
NA,,>Atmosphere>Radiation>UV>UV Erythemally weighted,UV Erythemally weighted,NA,
NA,,>Outer Space>Solar monitoring>UV flux,UV flux,Integrated Ultra-Violet (UV) flux.,
NA,,>Atmosphere>Radiation>UV>UV Multiband,UV Multiband,NA,
NA,,>Outer Space>Solar monitoring>UV sky image,UV sky image,Ultra-Violet (UV)  image of the sky.,
NA,,>Atmosphere>Radiation>UV>UV Spectral,UV Spectral,NA,
NA,,>Atmosphere>Radiation>UV-B radiation,UV-B radiation,NA,
NA,,>Terrestrial>Land surface>Vegetation,Vegetation,NA,
NA,,>Terrestrial>Land surface>Vegetation>Vegetation type,Vegetation type,Category of vegetation type within a vegetated area.,
NA,,>Atmosphere>Aerosol>Optical properties>Vertical distribution of properties,Vertical distribution of properties,NA,
NA,,>Atmosphere>Ozone>Vertical ozone profile,Vertical ozone profile,NA,
NA,,>Atmosphere>Visibility>Visibility,Visibility,NA,
NA,,>Atmosphere>Visibility,Visibility,NA,
NA,,>Atmosphere>Reactive Gas>VOC,VOC,NA,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Volcanic ash,Volcanic ash,NA,
NA,,>Atmosphere>Humidity>Water vapour pressure,Water vapour pressure,NA,
oceanOutgoingspectralRadiance,,>Ocean>Radiation>Water-leaving spectral radiance,Water-leaving spectral radiance,"Upward spectral radiance from the ocean surface, i.e. amount of light leaving the ocean per unit area, per wavelength and per solid angle.",
NA,,>Atmosphere>Humidity>Watervapor profile,Watervapor profile,NA,
oceanWave1DEnergySpectrum,,>Ocean>Waves>Wave 1D energy frequency spectrum,Wave 1D energy frequency spectrum,"The total wave energy in each frequency band (e.g. 25 frequency bands) regardless of the direction of propagation. Colloquially referred to as the ""1D wave spectrum"".",
oceanWaveDirectionalEnergySpectrum,,>Ocean>Waves>Wave directional energy frequency spectrum,Wave directional energy frequency spectrum,"Describes The wave energy travelling in each direction and frequency band (e.g. 24 distinct azimuth sectors each 15° wide, and 25 frequency bands). Colloquially referred to as the ""2D wave spectrum"".",
oceanWaveHeight,,>Ocean>Waves>Wave height,Wave height,Average of height (trough to crest) of the waves sampled over a specified time period.,
oceanWavePeriod,,>Ocean>Waves>Wave period,Wave period,"Time required for two successive wave crests to pass a fixed point, or the time for a single wave crest to travel a distance equal to the length of the wave. This is averaged over a specified period of time.",
NA,,>Ocean>Waves,Waves,NA,
NA,,>Terrestrial>Well,Well,NA,
NA,,>Terrestrial>Well>Well discharge,Well discharge,NA,
NA,,>Terrestrial>Land surface>Wetland extent,Wetland extent,Fraction of an area flood by water.,
NA,,>Atmosphere>Wind,Wind,NA,
NA,,>Ocean>Wind,Wind,NA,
NA,,">Atmosphere>Wind>Wind (surface wind direction and speed, horizontal)","Wind (surface wind direction and speed, horizontal)",Horizontal component of wind as speed and direction.,
NA,,">Atmosphere>Wind>Wind (X, Y components, horizontal)","Wind (X, Y components, horizontal)",Horizontal component of wind as a vector in an orthogonal coordinate system.,
NA,,">Atmosphere>Wind>Wind (Z component, vertical)","Wind (Z component, vertical)",Z component of wind vector.,
oceanWaveStress,,>Ocean>Wind>Wind stress,Wind stress,The shear force per unit area exerted by wind blowing over the sea surface.,
NA,,>Outer Space>Solar monitoring>X-ray flux,X-ray flux,Integrated X-ray flux.,
NA,,>Outer Space>Solar monitoring>X-ray flux spectrum,X-ray flux spectrum,Energy spectrum of the integrated X-ray flux.,
NA,,>Outer Space>Solar monitoring>X-ray sky image,X-ray sky image,X-ray image of the sky.,
oceanZooplanktonSizeDev,,>Ocean>Biology>Zooplankton (size and/or development stage),Zooplankton (size and/or development stage),"Aggregate of animal or animal-like organisms in plankton, as protozoans.",
