#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
51,climatTempShip,,,FM 76 - CLIMAT TEMP SHIP,Report of monthly aerological means form an ocean weather station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 76 - CLIMAT TEMP SHIP,"Message de moyennes aérologiques mensuelles provenant d’une station météorologique océanique. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 76 - CLIMAT TEMP SHIP,Informe de medias aerológicas mensuales proveniente de una estación meteorológica oceánica. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 76 - CLIMAT TEMP SHIP,"Сводка среднемесячных аэрологических данных с океанической метеорологической станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
52,sfazi,,,FM 81 - SFAZI,Synoptic report of bearings of sources of atmospherics. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 81 - SFAZI,"Message synoptique de relèvement des foyers d’atmosphériques. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 81 - SFAZI,Informe sinóptico de la orientación de los focos de parásitos atmosféricos. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 81 - SFAZI,"Синоптическая сводка данных о пеленгах источников атмосфериков. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
53,sfloc,,,FM 82 - SFLOC,Synoptic report of the geographical location of sources of atmospherics. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 82 - SFLOC,"Message synoptique de position géographique de foyers d’atmosphériques. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 82 - SFLOC,Informe sinóptico de la posición geográfica de los focos de parásitos atmosféricos. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 82 - SFLOC,"Синоптическая сводка данных о географическом положении источников атмосфериков. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
54,sfazu,,,FM 83 - SFAZU,Detailed report of the distribution of sources of atmospherics by bearings for any period up to and including 24 hours. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 83 - SFAZU,"Message détaillé de localisation des foyers d’atmosphériques par relèvement, durant toute période inférieure ou égale à 24 heures. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 83 - SFAZU,"nforme detallado de la localización de los focos de parásitos atmosféricos mediante la orientación de los mismos, para un período de hasta 24 horas inclusive. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 83 - SFAZU,"Подробная сводка данных о распределении источников атмосфериков согласно пеленгам за любой период до и включая 24 часа. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
55,sarep,,,FM 85 - SAREP,Report of synoptic interpretation of cloud data obtained by a meteorological satellite. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 85 - SAREP,"Message de l’interprétation synoptique des données de nuages recueillies par un satellite météorologique. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 85 - SAREP,"Informe de interpretación sinóptica de datos de nubes, obtenidos por medio de un satélite meteorológico. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 85 - SAREP,"Сводка синоптической интерпретации данных об облачности, полученных посредством метеорологического спутника. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
56,satem,,,FM 86 - SATEM,"Report of satellite remote upper-air soundings of pressure, temperature and humidity. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1",,FM 86 - SATEM,"Message d’observation en altitude de pression, température et humidité par télésondage à partir d’un satellite. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 86 - SATEM,"Informe de los sondeos en altitud de la presión, la temperatura y la humedad realizados por satélite. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 86 - SATEM,"Сводка данных о давлении, температуре и влажности на высотах, полученных путем дистанционного зондирования спутника. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
57,sarad,,,FM 87 - SARAD,Report of satellite clear radiance observations. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 87 - SARAD,"Message d’observation de la luminance énergétique en air clair par satellite. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 87 - SARAD,Informe de las observaciones de radiancia energética con cielo despejado realizadas por satélite. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 87 - SARAD,"Сводка наблюдений со спутника за излучением безоблачной атмосферы. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
58,satob,,,FM 88 - SATOB,"Report of satellite observations of wind, surface temperature, cloud, humidity and radiation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1",,FM 88 - SATOB,"Message d’observation du vent, de la température en surface, des nuages, de l’humidité et du rayonnement par satellite. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 88 - SATOB,"Informe de las observaciones del viento, temperatura de superficie, nubosidad, humedad y radiación realizadas por satélite. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 88 - SATOB,"Сводка спутниковых наблюдений за ветром, приземной температурой, облачностью, влажностью и радиацией. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
59,grib,,,FM 92 - GRIB,Processed data in the form of grid-point values expressed in binary form. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes2,,FM 92 - GRIB,"Données traitées sous forme de valeurs aux points de grille exprimées en binaire. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes2",,FM 92 - GRIB,Datos procesados como valores reticulares expresados en forma binaria. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes2,,FM 92 - GRIB,"Обработанные данные в виде значений в узлах регулярной сетки, выраженных в двоичной форме. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes2",
60,bufr,,,FM 94 - BUFR,Binary Universal Form for the Representation of meteorological data. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes2,,FM 94 - BUFR,"Forme universelle de représentation binaire des données météorologiques. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes2",,FM 94 - BUFR,Forma binaria universal de representación de datos meteorológicos. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes2,,FM 94 - BUFR,"Двоичная универсальная форма для представления метеорологических данных. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes2",
61,crex,,,FM 95 - CREX,Character form for the representation and exchange of data. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 95 - CREX,"Code de caractères pour la représentation et l’échange de données. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 95 - CREX,Clave de caracteres para la representación y el intercambio de datos. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 95 - CREX,"Буквенная форма для представления данных и обмена ими. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
62,collect,,,FM 201 - COLLECT,Collection of reports that use the same XML application schemas. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3,,FM 201 - COLLECT,"Ensemble de messages d’observation utilisant les mêmes méthodes d’application XML. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes3",,FM 201 - COLLECT,Colección de informes que utilizan los mismos esquemas de aplicación XML. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes3,,FM 201 - COLLECT,"Набор сводок, в которых используются одинаковые прикладные XML-схемы. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes3",
63,metce,,,FM 202 - METCE,Meteorological information. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3,,FM 202 - METCE,"Renseignements météorologiques. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes3",,FM 202 - METCE,Información meteorológica0. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes3,,FM 202 - METCE,"Метеорологическая информация. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes3",
64,opmXML,,,FM 203 - OPM-XML,Observable property model. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3,,FM 203 - OPM-XML,"Modèle de propriétés observables. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes3",,FM 203 - OPM-XML,Modelo de propiedades observables. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes3,,FM 203 - OPM-XML,"Модель наблюдаемых свойств. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes3",
65,safXML,,,FM 204 - SAF-XML,Simple aeronautical features. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3,,FM 204 - SAF-XML,"Éléments aéronautiques simples. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes3",,FM 204 - SAF-XML,Objetos aeronáuticos simples. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes3,,FM 204 - SAF-XML,"Простые авиационные элементы. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes3",
66,iwxxmXML,,,FM 205 - IWXXM-XML,International Civil Aviation Organization meteorological information exchange model. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes3,,FM 205 - IWXXM-XML,"Modèle d’échange de renseignements météorologiques de l’Organisation de l’aviation civile internationale. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes3",,FM 205 - IWXXM-XML,Modelo de intercambio de información de la Organización de Aviación Civil Internacional. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes3,,FM 205 - IWXXM-XML,"Модель обмена метеорологической информацией Международной организации гражданской авиации. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes3",
11,synop,,,FM 12 - SYNOP,Report of surface observation from a fixed land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 12 - SYNOP,"Message d’observation en surface provenant d’une station terrestre fixe. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 12 - SYNOP,Informe de observación de superficie proveniente de una estación terrestre fija. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 12 - SYNOP,"Сводка приземных наблюдений с фиксированной наземной станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
