#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
210,ARE,,,United Arab Emirates (the),United Arab Emirates (the),,Émirats arabes unis,Émirats arabes unis,,Emiratos Árabes Unidos (los),Emiratos Árabes Unidos (los),,Объединенные Арабские Эмираты,Объединенные Арабские Эмираты
211,GBR,,,United Kingdom (the),United Kingdom (the),,Royaume-Uni de Grande-Bretagne et d’Irlande du Nord,Royaume-Uni de Grande-Bretagne et d’Irlande du Nord,,Reino Unido de Gran Bretaña e Irlanda del Norte (el),Reino Unido de Gran Bretaña e Irlanda del Norte (el),,Соединенное Королевство,Соединенное Королевство
212,USA,,,United States (the),United States (the),,États-Unis d’Amérique,États-Unis d’Amérique,,Estados Unidos de América (los),Estados Unidos de América (los),,Соединенные Штаты,Соединенные Штаты
213,URY,,,Uruguay,Uruguay,,Uruguay,Uruguay,,Uruguay,Uruguay,,Уругвай,Уругвай
214,UZB,,,Uzbekistan,Uzbekistan,,Ouzbékistan,Ouzbékistan,,Uzbekistán,Uzbekistán,,Узбекистан,Узбекистан
215,VUT,,,Vanuatu,Vanuatu,,Vanuatu,Vanuatu,,Vanuatu,Vanuatu,,Вануату,Вануату
216,VEN,,,"Venezuela, Bolivarian Republic of","Venezuela, Bolivarian Republic of",,"Venezuela, République bolivarienne du","Venezuela, République bolivarienne du",,"Venezuela, República Bolivariana de","Venezuela, República Bolivariana de",,"Венесуэла, Боливарианская Республика","Венесуэла, Боливарианская Республика"
217,VNM,,,Viet Nam,Viet Nam,,Viet Nam,Viet Nam,,Viet Nam,Viet Nam,,Вьетнам,Вьетнам
218,ESH,,,Western Sahara,Western Sahara,,Sahara occidental,Sahara occidental,,Sáhara Occidental (el),Sáhara Occidental (el),,Западная Сахара,Западная Сахара
219,YEM,,,Yemen,Yemen,,Yémen,Yémen,,Yemen,Yemen,,Йемен,Йемен
220,ZMB,,,Zambia,Zambia,,Zambie,Zambie,,Zambia,Zambia,,Замбия,Замбия
221,ZWE,,,Zimbabwe,Zimbabwe,,Zimbabwe,Zimbabwe,,Zimbabwe,Zimbabwe,,Зимбабве,Зимбабве
