@id,dct:description,rdf:type,rdfs:label,skos:notation
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/381>,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in particle phase'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol",'381'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/382>,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air",'382'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/383>,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation",'383'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/384>,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air",'384'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/385>,"'IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition'@en",skos:Concept,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation",'385'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/390>,"'IUPAC: azane, PubChem CID: 222, CAS Number: 7664-41-7, in gas phase'@en",skos:Concept,NH3 (Ammonia),'390'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/391>,"'IUPAC: nitro ethaneperoxoate, PubChem CID: 16782, CAS Number: 2278-22-0, in gas phase'@en",skos:Concept,"C2H3O5N (peroxyacetylnitrate, PAN)",'391'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/392>,"'IUPAC: chloro nitrate, PubChem CID: 114934, CAS Number: 14545-72-3, in gas phase'@en",skos:Concept,ClONO2 (chlorine nitrate),'392'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/393>,"'IUPAC: formonitrile, PubChem CID: 768, CAS Number: 74-90-8, in gas phase'@en",skos:Concept,"HCN (formonitrile, hydrogen cyanide)",'393'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/394>,"'IUPAC: nitric acid, PubChem CID: 944, CAS Number: 7697-37-2, in gas phase'@en",skos:Concept,HNO3 (nitric acid),'394'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/395>,"'IUPAC: nitric oxide, PubChem CID: 145068, CAS Number: 10102-43-9, in gas phase'@en",skos:Concept,NO (nitrogen monoxide),'395'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/396>,"'IUPAC: n/a, PubChem CID: 3032552, CAS Number: 10102-44-0, in gas phase'@en",skos:Concept,NO2 (nitrogen dioxide),'396'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/397>,''@en,skos:Concept,NOx,'397'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/398>,''@en,skos:Concept,NOy,'398'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/411>,''@en,skos:Concept,CCN concentration at single supersaturation,'411'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/412>,''@en,skos:Concept,CCN concentration spectra,'412'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/413>,''@en,skos:Concept,"Hygroscopic growth factor, 110 Î¼m equivalent",'413'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/414>,''@en,skos:Concept,"Hygroscopic growth factor, 165 Î¼m equivalent",'414'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/415>,''@en,skos:Concept,"Hygroscopic growth factor, 35 Î¼m equivalent",'415'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/416>,''@en,skos:Concept,"Hygroscopic growth factor, 50 Î¼m equivalent",'416'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/417>,''@en,skos:Concept,"Hygroscopic growth factor, 75 Î¼m equivalent",'417'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/418>,''@en,skos:Concept,"Hygroscopic growth factor, total aerosol",'418'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/419>,"'IUPAC: 1,1,1,2,2,2-hexafluoroethane, PubChem CID: 6431, CAS Number: 76-16-4, in gas phase'@en",skos:Concept,"C2F6 (hexafluoroethane, PFC-116)",'419'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/420>,"'IUPAC: 1,1,1,2,2,3,3,3-octafluoropropane, PubChem CID: 6432, CAS Number: 76-19-7, in gas phase'@en",skos:Concept,"C3F8 (octafluoropropane, PFC-218)",'420'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/421>,"'IUPAC: tetrafluoromethane, PubChem CID: 6393, CAS Number: 75-73-0, in gas phase'@en",skos:Concept,"CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)",'421'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/428>,"'IUPAC: carbonyl sulfide, PubChem CID: 10039, CAS Number: 463-58-1, in gas phase'@en",skos:Concept,"COS (OCS, carbon oxide sulfide, carbonyl sulfide)",'428'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/429>,"'IUPAC: methanedithione, PubChem CID: 6348, CAS Number: 75-15-0, in gas phase'@en",skos:Concept,CS2 (carbon disulfide),'429'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/430>,"'IUPAC: sulfur dioxide, PubChem CID: 1119, CAS Number: 7446 09-5, in gas phase'@en",skos:Concept,SO2,'430'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/431>,"'Detection of the time and location (latitude, longitude) of lightning events. Accuracy expressed in terms of Hit Rate and False Alarm Rate, which requires predetermination of a specific distance and time tolerance.'@en",skos:Concept,Lightning detection (time and location),'431'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/432>,'Azimuth of the lightning event with respect to the corresponding station.'@en,skos:Concept,Lightning discharge direction from station,'432'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/433>,'Distance of the lightning event from the corresponding station.'@en,skos:Concept,Lightning discharge distance from station,'433'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/434>,"'IUPAC: acetylene, PubChem CID: 6326, CAS Number: 74-86-2, in gas phase'@en",skos:Concept,"C2H2 (ethyne, acetylene)",'434'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/435>,"'IUPAC: oxaldehyde, PubChem CID: 7860, CAS Number: 107-22-2, in gas phase'@en",skos:Concept,"C2H2O2 (oxaldehyde, ethanedial)",'435'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/436>,"'IUPAC: ethene, PubChem CID: 6325, CAS Number: 74-85-1, in gas phase'@en",skos:Concept,C2H4 (ethene),'436'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/437>,"'IUPAC: ethane, PubChem CID: 6324, CAS Number: 74-84-0, in gas phase'@en",skos:Concept,C2H6 (ethane),'437'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/438>,"'IUPAC: methylsulfanylmethane, PubChem CID: 1068, CAS Number: 75-18-3, in gas phase'@en",skos:Concept,"C2H6S (dimethylsulfide, DMS)",'438'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/439>,"'IUPAC: prop-1-yne, PubChem CID: 6335, CAS Number: 74-99-7, in gas phase'@en",skos:Concept,C3H4 (propyne),'439'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/440>,"'IUPAC: prop-2-enal, PubChem CID: 7847, CAS Number: 107-02-8, in gas phase'@en",skos:Concept,"C3H4O (prop-2-enal, acrolein)",'440'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/441>,"'IUPAC: 2-oxopropanal, PubChem CID: 880, CAS Number: 78-98-8, in gas phase'@en",skos:Concept,"C3H4O2 (2-oxopropanal, methylglyoxal)",'441'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/442>,"'IUPAC: prop-1-ene, PubChem CID: 8252, CAS Number: 115-07-1, in gas phase'@en",skos:Concept,C3H6 (propene),'442'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/443>,"'IUPAC: propan-2-one, PubChem CID: 180, CAS Number: 67-64-1, in gas phase'@en",skos:Concept,"C3H6O (acetone, propanone)",'443'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/444>,"'IUPAC: propanal, PubChem CID: 527, CAS Number: 123-38-6, in gas phase'@en",skos:Concept,C3H6O (propanal),'444'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/445>,"'IUPAC: propane, PubChem CID: 6334, CAS Number: 74-98-6, in gas phase'@en",skos:Concept,C3H8 (propane),'445'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/446>,"'IUPAC: buta-1,3-diene, PubChem CID: 7845, CAS Number: 106-99-0, in gas phase'@en",skos:Concept,"C4H6 (1,3-butadiene, butadiene)",'446'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/447>,"'IUPAC: 2-methylprop-2-enal, PubChem CID: 6562, CAS Number: 78-85-3, in gas phase'@en",skos:Concept,"C4H6O (2-methylprop-2-enal, methacrolein)",'447'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/448>,"'IUPAC: but-3-en-2-one, PubChem CID: 6570, CAS Number: 78-94-4, in gas phase'@en",skos:Concept,"C4H6O (but-3-en-2-one, methylvinylketone)",'448'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/449>,"'IUPAC: but-1-ene, PubChem CID: 7844, CAS Number: 106-98-9, in gas phase'@en",skos:Concept,C4H8 (1-butene),'449'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/450>,''@en,skos:Concept,C4H8 (sum of butenes),'450'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/451>,"'IUPAC: butan-2-one, PubChem CID: 6569, CAS Number: 78-93-3, in gas phase'@en",skos:Concept,"C4H8O (butan-2-one, methylethylketone)",'451'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/452>,''@en,skos:Concept,C4H8O (butanal isomers),'452'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/453>,"'IUPAC: pent-1-ene, PubChem CID: 8004, CAS Number: 109-67-1, in gas phase'@en",skos:Concept,C5H10 (1-pentene),'453'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/454>,"'IUPAC: 2-methylbut-1-ene, PubChem CID: 11240, CAS Number: 563-46-2, in gas phase'@en",skos:Concept,C5H10 (2-methyl-1-butene),'454'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/455>,"'IUPAC: 2-methylbut-2-ene, PubChem CID: 10553, CAS Number: 513-35-9, in gas phase'@en",skos:Concept,C5H10 (2-methyl-2-butene),'455'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/456>,"'IUPAC: 3-methylbut-1-ene, PubChem CID: 11239, CAS Number: 563-45-1, in gas phase'@en",skos:Concept,C5H10 (3-methyl-1-butene),'456'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/457>,"'IUPAC: cyclopentane, PubChem CID: 9253, CAS Number: 287-92-3, in gas phase'@en",skos:Concept,C5H10 (cyclopentane),'457'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/458>,''@en,skos:Concept,C5H10 (sum of 1-pentene and 2-methyl-2-butene),'458'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/459>,''@en,skos:Concept,C5H10 (sum of pentenes),'459'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/460>,"'IUPAC: pentanal, PubChem CID: 8063, CAS Number: 110-62-3, in gas phase'@en",skos:Concept,"C5H10O (pentanal, valeraldehyde)",'460'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/461>,''@en,skos:Concept,"C5H12 & C4H8 (sum of 2,2-dimethylpropane & c-2-butene)",'461'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/462>,"'IUPAC: 2,2-dimethylpropane, PubChem CID: 10041, CAS Number: 463-82-1, in gas phase'@en",skos:Concept,"C5H12 (2,2-dimethylpropane)",'462'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/463>,"'IUPAC: 2,3-dimethylbutane, PubChem CID: 6589, CAS Number: 79-29-8, in gas phase'@en",skos:Concept,"C5H14 (2,3-dimethylbutane)",'463'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/464>,"'IUPAC: 2-methylbuta-1,3-diene, PubChem CID: 6557, CAS Number: 78-79-5, in gas phase'@en",skos:Concept,"C5H8 (2-methyl-1,3-butadiene, isoprene)",'464'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/465>,"'IUPAC: cyclopentene, PubChem CID: 8882, CAS Number: 142-29-0, in gas phase'@en",skos:Concept,C5H8 (cyclopentene),'465'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/466>,"'Sum of 3-methyl-1-butene and cyclopentane, in gas phase'@en",skos:Concept,"C5Hn, n=10 (sum of 3-methyl-1-butene and cyclopentene)",'466'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/467>,"'Sum of n-pentane and cyclopentane, in gas phase'@en",skos:Concept,"C5Hn, n={12, 10} (sum of n-pentane and cyclopentane)",'467'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/468>,"'IUPAC: cyclohexane, PubChem CID: 8078, CAS Number: 110-82-7, in gas phase'@en",skos:Concept,C6H12 (cyclohexane),'468'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/469>,"'IUPAC: methylcyclopentane, PubChem CID: 7296, CAS Number: 96-37-7, in gas phase'@en",skos:Concept,C6H12 (methylcyclopentane),'469'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/470>,''@en,skos:Concept,C6H12O (hexanal isomers),'470'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/471>,''@en,skos:Concept,"C6H14 (2,2-dimethylbutane)",'471'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/472>,"'IUPAC: 2-methylpentane, PubChem CID: 7892, CAS Number: 107-83-5, in gas phase'@en",skos:Concept,C6H14 (2-methylpentane),'472'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/473>,"'IUPAC: 3-methylpentane, PubChem CID: 7282, CAS Number: 96-14-0, in gas phase'@en",skos:Concept,C6H14 (3-methylpentane),'473'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/474>,"'IUPAC: hexane, PubChem CID: 8058, CAS Number: 110-54-3, in gas phase'@en",skos:Concept,C6H14 (n-hexane),'474'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/475>,''@en,skos:Concept,C6H14 (sum of methylpentanes),'475'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/476>,"'IUPAC: benzene, PubChem CID: 241, CAS Number: 71-43-2, in gas phase'@en",skos:Concept,C6H6 (benzene),'476'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/477>,"'sum of 3-methylpentane and cyclohexane, in gas phase'@en",skos:Concept,"C6Hn, n={14, 12} (sum of 3-methylpentane and cyclohexane)",'477'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/478>,"'sum of 2,2-dimethylbutane and methylcyclopentane, in gas phase'@en",skos:Concept,"C6Hn, n={14, 12} (sum of 2,2-dimethylbutane and methylcyclopentane)",'478'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/479>,"'sum of 2,3-dimethylbutane and methylcyclopentane, in gas phase'@en",skos:Concept,"C6Hn, n={14, 12} (sum of 2,3-dimethylbutane and methylcyclopentane)",'479'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/480>,''@en,skos:Concept,C7H16 (sum of methylhexanes),'480'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/481>,''@en,skos:Concept,C7H6O (benzene carbaldehyde),'481'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/482>,"'IUPAC: toluene, PubChem CID: 1140, CAS Number: 108-88-3, in gas phase'@en",skos:Concept,C7H8 (toluene),'482'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/483>,"'IUPAC: ethylbenzene, PubChem CID: 7500, CAS Number: 100-41-4, in gas phase'@en",skos:Concept,C8H10 (ethylbenzene),'483'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/484>,"'IUPAC: 1,3-xylene, PubChem CID: 7929, CAS Number: 108-38-3, in gas phase'@en",skos:Concept,C8H10 (m-xylene),'484'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/485>,"'IUPAC: 1,2-xylene, PubChem CID: 7237, CAS Number: 95-47-6, in gas phase'@en",skos:Concept,C8H10 (o-xylene),'485'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/486>,''@en,skos:Concept,"C8H10 (Sum of p-xylene and m-xylene, 1,3- and 1,4-dimethylbenzene)",'486'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/487>,"'IUPAC: 1,2,4-trimethylbenzene, PubChem CID: 7247, CAS Number: 95-36-3, in gas phase'@en",skos:Concept,"C9H12 (1,2,4-trimethylbenzene)",'487'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/488>,"'IUPAC: 1,3,5-trimethylbenzene, PubChem CID: 7947, CAS Number: 108-67-8, in gas phase'@en",skos:Concept,"C9H12 (1,3,5-trimethylbenzene)",'488'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/489>,"'IUPAC: formaldehyde, PubChem CID: 712, CAS Number: 50-00-0, in gas phase'@en",skos:Concept,"CH2O (methanal, formaldehyde)",'489'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/490>,"'IUPAC: ethanol, PubChem CID: 702, CAS Number: 64-17-5, in gas phase'@en",skos:Concept,CH3CH2OH (ethanol),'490'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/491>,"'IUPAC: acetaldehyde, PubChem CID: 177, CAS Number: 75-07-0, in gas phase'@en",skos:Concept,"CH3CHO (acetaldehyde, ethanal)",'491'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/492>,"'IUPAC: acetonitrile, PubChem CID: 6342, CAS Number: 75-05-8, in gas phase'@en",skos:Concept,CH3CN (acetonitrile),'492'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/493>,"'IUPAC: methanol, PubChem CID: 887, CAS Number: 67-56-1, in gas phase'@en",skos:Concept,CH3OH (methanol),'493'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/494>,''@en,skos:Concept,NMHC,'494'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/495>,"'IUPAC: (Z)-but-2-ene, PubChem CID: 5287573, CAS Number: 590-18-1, in gas phase'@en",skos:Concept,c-C4H8 (cis-2-butene),'495'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/496>,"'IUPAC: (Z)-pent-2-ene, PubChem CID: 5326160, CAS Number: 627-20-3, in gas phase'@en",skos:Concept,c-C5H10 (cis-2-pentene),'496'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/497>,"'IUPAC: 2-methylpropane, PubChem CID: 6360, CAS Number: 75-28-5, in gas phase'@en",skos:Concept,"i-C4H10 (2-methylpropane, iso-butane)",'497'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/498>,"'IUPAC: 2-methylprop-1-ene, PubChem CID: 8255, CAS Number: 115-11-7, in gas phase'@en",skos:Concept,"i-C4H8 (2-methylpropene, iso-butene)",'498'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/499>,"'IUPAC: 2-methylbutane, PubChem CID: 6556, CAS Number: 78-78-4, in gas phase'@en",skos:Concept,"i-C5H12 (2-methylbutane, iso-pentane)",'499'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/500>,"'IUPAC: 2-methylhexane, PubChem CID: 11582, CAS Number: 591-76-4, in gas phase'@en",skos:Concept,"i-C7H16 (2-methylhexane, isoheptane)",'500'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/501>,"'IUPAC: butane, PubChem CID: 7843, CAS Number: 106-97-8, in gas phase'@en",skos:Concept,n-C4H10 (n-butane),'501'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/502>,"'IUPAC: pentane, PubChem CID: 8003, CAS Number: 109-66-0, in gas phase'@en",skos:Concept,n-C5H12 (n-pentane),'502'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/503>,"'IUPAC: heptane, PubChem CID: 8900, CAS Number: 142-82-5, in gas phase'@en",skos:Concept,n-C7H16 (n-heptane),'503'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/504>,"'IUPAC: (E)-but-2-ene, PubChem CID: 62695, CAS Number: 107-01-7, in gas phase'@en",skos:Concept,t-C4H8 (trans-2-butene),'504'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/505>,"'IUPAC: (E)-pent-2-ene, PubChem CID: 5326161, CAS Number: 109-68-2, in gas phase'@en",skos:Concept,t-C5H10 (trans-2-pentene),'505'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/506>,"'Effective depth (thickness) of a cloud from the viewpoint of radiation propagation. Specifically, OD = exp(-K.Îz), where K is the extinction coefficient [km-1] and Îz the vertical path [km] between the base and the top of the cloud. The WMO Cloud Atlas (https://cloudatlas.wmo.int/en/optical-thickness.html) defines cloud optical thickness as \'The optical thickness of a cloud is the degree to which the cloud prevents light from passing through it.\''@en",skos:Concept,Cloud optical depth,'506'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/507>,"'The degree to which fog prevents light from passing through it. The term \'fog\' refers to \'microscopic droplets [that] reduce horizontal visibility at the Earthâs surface to less than 1 km\' [WMO, International Cloud Atlas, 2017 ed., https://cloudatlas.wmo.int/en/fog-compared-with-mist.html].'@en",skos:Concept,Optical depth of fog,'507'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/508>,'A part of cloud optical depth which results from a vertical integral of light extinction by cloud particles between the bottom and top of a cloud layer.'@en,skos:Concept,Optical depth within a cloud layer,'508'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/509>,'Reflectance of the solar radiation from clouds'@en,skos:Concept,Short-wave cloud reflectance,'509'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/521>,''@en,skos:Concept,Extinction coefficient,'521'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/522>,''@en,skos:Concept,Hydrometeor radius,'522'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/523>,''@en,skos:Concept,Hydrometeor type,'523'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/524>,''@en,skos:Concept,Lithometeor type,'524'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/525>,''@en,skos:Concept,Meteorological Optical Range,'525'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/526>,''@en,skos:Concept,Obscuration type,'526'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/529>,''@en,skos:Concept,Strong acids,'529'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/531>,"'For surface observations, height of the cloud base above ground level; for aircraft observations, altitude of the cloud base above mean sea level.'@en",skos:Concept,Cloud base height,'531'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/532>,'Height of the top of the cloud (highest cloud in case of multi-layer clouds) above mean sea level.'@en,skos:Concept,Cloud top height,'532'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/533>,'Height of a stable layer of air with an increased temperature.'@en,skos:Concept,Height of inversion,'533'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/534>,"'IUPAC: 1,1-dichloro-1-fluoroethane, PubChem CID: 15586, CAS Number: 1717-00-6, in gas phase'@en",skos:Concept,"C2H3Cl2F (1,1-dichloro-1-fluoroethane, HCFC-141b)",'534'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/535>,"'IUPAC: 1-chloro-1,1-difluoroethane, PubChem CID: 6388, CAS Number: 75-68-3, in gas phase'@en",skos:Concept,"C2H3ClF2 (1-chloro-1,1-difluoroethane, HCFC-142b)",'535'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/536>,"'IUPAC: 1,1,1-trifluoroethane, PubChem CID: 9868, CAS Number: 420-46-2, in gas phase'@en",skos:Concept,"C2H3F3 (1,1,1-trifluoroethane, HFC-143a)",'536'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/537>,"'IUPAC: chloro(difluoro)methane, PubChem CID: 6372, CAS Number: 75-45-6, in gas phase'@en",skos:Concept,"CHClF2 (chlorodifluoromethane, HCFC-22)",'537'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/538>,"'IUPAC: bromide, PubChem CID: 259, CAS Number: 24959-67-9, in total deposition'@en",skos:Concept,Br- (bromide),'538'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/539>,"'IUPAC: chloride, PubChem CID: 312, CAS Number: 16887-00-6, in total deposition'@en",skos:Concept,Cl- (chloride),'539'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/540>,"'IUPAC: fluoride, PubChem CID: 28179, CAS Number: 16984-48-8, in total deposition'@en",skos:Concept,F- (fluoride),'540'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/541>,"'IUPAC: iodide, PubChem CID: 30165, CAS Number: 20461-54-5, in total deposition'@en",skos:Concept,I- (iodide),'541'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/542>,"'IUPAC: phosphate, PubChem CID: 1061, CAS Number: 14265-44-2, in total deposition'@en",skos:Concept,PO4--- (phosphate),'542'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/543>,"'IUPAC: sulfate, PubChem CID: 1117, CAS Number: 14808-79-8, in total deposition'@en",skos:Concept,"SO4= (sulfate), corrected",'543'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/544>,"'IUPAC: sulfate, PubChem CID: 1117, CAS Number: 14808-79-8, in total deposition'@en",skos:Concept,SO4= (sulfate),'544'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/545>,"'IUPAC: calcium(2+), PubChem CID: 271, CAS Number: 14127-61-8, in total deposition'@en",skos:Concept,Ca++ (calcium),'545'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/546>,"'IUPAC: magnesium(2+), PubChem CID: 888, CAS Number: 22537-22-0, in total deposition'@en",skos:Concept,Mg++ (magnesium),'546'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/547>,"'IUPAC: potassium(1+), PubChem CID: 813, CAS Number: 24203-36-9, in total deposition'@en",skos:Concept,K+ (potassium),'547'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/548>,"'IUPAC: sodium(1+), PubChem CID: 923, CAS Number: 17341-25-2, in total deposition'@en",skos:Concept,Na+ (sodium),'548'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/550>,"'Result of cloud type classification - Accuracy expressed as inverse of number of classes, so that smaller figures correspond to better performance.'@en",skos:Concept,Type of cloud,'550'
